round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score,cum_views,cum_likes
20,44,4,0.146514,0.062500,0.101878,0.050517,0.149707,0.006616,0.067609,0.072734,0.8,0.2
20,45,4,0.031405,0.062500,0.110645,0.052185,0.338283,0.025009,0.052185,0.101850,1.5,0.3
20,46,4,0.216687,0.062500,0.112493,0.055221,0.611341,0.034687,0.060606,0.147687,1.8,0.7
20,47,4,0.446234,0.062500,0.119075,0.068958,0.744538,0.069623,0.064283,0.177166,2.9,2.5
20,48,4,0.301519,0.062500,0.109171,0.057726,0.520761,0.033934,0.082171,0.139113,1.2,0.9
20,49,4,0.532519,0.062500,0.146346,0.099625,0.844399,0.144145,0.081131,0.216475,8.2,7.5
30,0,0,0.139619,0.015625,0.102229,0.050239,0.113108,0.006062,0.083227,0.064312,1.4,0.5
30,1,0,0.247320,0.015625,0.120593,0.068228,0.608752,0.071019,0.087434,0.156529,4.9,3.4
30,2,0,0.039080,0.015625,0.102427,0.050157,0.100521,0.005978,0.089504,0.063976,1.5,0.5
30,3,0,0.724847,0.015625,0.167420,0.126953,0.938579,0.189510,0.078817,0.238554,14.0,13.3
30,4,0,0.368557,0.015625,0.130809,0.078577,0.752432,0.100350,0.083973,0.185163,7.2,5.7
30,5,0,0.268096,0.015625,0.130209,0.064920,0.612770,0.076663,0.080691,0.157226,4.0,2.1
30,6,0,0.150631,0.015625,0.111963,0.052420,0.311219,0.028238,0.093382,0.102346,2.8,1.2
30,7,0,0.568517,0.015625,0.140804,0.092845,0.885782,0.129968,0.084806,0.213902,10.7,9.8
30,8,0,0.168080,0.015625,0.119912,0.056724,0.450722,0.048262,0.078978,0.124922,3.6,1.4
30,9,0,0.311360,0.015625,0.111998,0.063045,0.448935,0.049558,0.082317,0.125460,3.4,2.7
30,10,1,0.490499,0.015625,0.127901,0.077405,0.589464,0.096063,0.070773,0.155611,8.6,7.6
30,11,1,0.199080,0.015625,0.122135,0.065976,0.563185,0.069244,0.079305,0.147118,4.4,2.7
30,12,1,0.612538,0.015625,0.183889,0.139330,0.914769,0.211710,0.067478,0.239706,18.9,17.9
30,13,1,0.080769,0.015625,0.104422,0.051820,0.188248,0.014394,0.082567,0.077475,2.0,0.6
