round,image_id,category,ctr,lr,awt,social_proof,own_query_score
3,28,2,0.100000,0.050000,0.000000,0.000000,0.098859
3,29,2,0.099197,0.050000,0.000000,0.000000,0.161041
3,30,3,0.100000,0.050000,0.000000,0.000000,0.155822
3,31,3,0.100000,0.050000,0.000000,0.000000,0.108909
3,32,3,0.100000,0.050000,0.000000,0.000000,0.095441
3,33,3,0.127247,0.048431,0.046337,0.045146,0.205049
3,34,3,0.100000,0.050000,0.000000,0.000000,0.118178
3,35,3,0.273594,0.194318,0.201159,0.425765,0.347273
3,36,3,0.166639,0.127590,0.203484,0.301690,0.293535
3,37,3,0.107231,0.049598,0.026006,0.012529,0.181869
3,38,3,0.106377,0.057633,0.055369,0.063714,0.164179
3,39,3,0.100000,0.050000,0.000000,0.000000,0.101305
3,40,4,0.107231,0.057633,0.063426,0.063714,0.161932
3,41,4,0.098406,0.050000,0.000000,0.000000,0.110316
3,42,4,0.151915,0.094854,0.200096,0.238330,0.282043
3,43,4,0.212813,0.117318,0.131766,0.317929,0.287983
3,44,4,0.120399,0.048814,0.048192,0.034991,0.164136
3,45,4,0.105535,0.049598,0.053450,0.012529,0.197903
3,46,4,0.100000,0.050000,0.000000,0.000000,0.102947
3,47,4,0.100000,0.050000,0.000000,0.000000,0.102613
3,48,4,0.100000,0.050000,0.000000,0.000000,0.072876
3,49,4,0.111677,0.065145,0.056642,0.109231,0.173620
4,0,0,0.104250,0.056875,0.043186,0.058366,0.204668
4,1,0,0.112933,0.049281,0.046609,0.021893,0.150953
4,2,0,0.100000,0.050000,0.000000,0.000000,0.102039
4,3,0,0.163009,0.091202,0.294494,0.234640,0.262305
4,4,0,0.104994,0.056875,0.051026,0.058366,0.200479
4,5,0,0.266719,0.185306,0.230786,0.430122,0.350611
4,6,0,0.134525,0.061826,0.071894,0.124955,0.223699
4,7,0,0.100000,0.050000,0.000000,0.000000,0.109911
4,8,0,0.106514,0.056875,0.046337,0.058366,0.171903
4,9,0,0.280132,0.141555,0.223018,0.387585,0.333364
4,10,1,0.100000,0.050000,0.000000,0.000000,0.091003
4,11,1,0.118417,0.063198,0.051880,0.107237,0.189853
4,12,1,0.100000,0.050000,0.000000,0.000000,0.109776
4,13,1,0.100000,0.050000,0.000000,0.000000,0.112695
4,14,1,0.106514,0.056875,0.047267,0.058366,0.161583
4,15,1,0.099276,0.050000,0.000000,0.000000,0.135300
