round,query,prec10
207,dog,1.0
207,plane,1.0
207,clothes,1.0
207,car,1.0
208,cat,1.0
208,dog,1.0
208,plane,1.0
208,clothes,1.0
208,car,1.0
209,cat,1.0
209,dog,1.0
209,plane,1.0
209,clothes,1.0
209,car,1.0
210,cat,1.0
210,dog,1.0
210,plane,1.0
210,clothes,1.0
210,car,1.0
211,cat,1.0
211,dog,1.0
211,plane,1.0
211,clothes,1.0
211,car,1.0
212,cat,1.0
212,dog,1.0
212,plane,1.0
212,clothes,1.0
212,car,1.0
213,cat,1.0
213,dog,1.0
213,plane,1.0
213,clothes,1.0
213,car,1.0
214,cat,1.0
214,dog,1.0
214,plane,1.0
214,clothes,1.0
214,car,1.0
215,cat,1.0
215,dog,1.0
215,plane,1.0
215,clothes,1.0
215,car,1.0
216,cat,1.0
216,dog,1.0
216,plane,1.0
216,clothes,1.0
216,car,1.0
217,cat,1.0
217,dog,1.0
217,plane,1.0
217,clothes,1.0
217,car,1.0
218,cat,1.0
218,dog,1.0
218,plane,1.0
218,clothes,1.0
218,car,1.0
219,cat,1.0
219,dog,1.0
219,plane,1.0
219,clothes,1.0
219,car,1.0
220,cat,1.0
220,dog,1.0
220,plane,1.0
220,clothes,1.0
220,car,1.0
221,cat,1.0
221,dog,1.0
221,plane,1.0
221,clothes,1.0
221,car,1.0
222,cat,1.0
222,dog,1.0
222,plane,1.0
222,clothes,1.0
222,car,1.0
223,cat,1.0
223,dog,1.0
223,plane,1.0
223,clothes,1.0
223,car,1.0
224,cat,1.0
224,dog,1.0
224,plane,1.0
224,clothes,1.0
224,car,1.0
225,cat,1.0
225,dog,1.0
225,plane,1.0
225,clothes,1.0
225,car,1.0
226,cat,1.0
226,dog,1.0
226,plane,1.0
226,clothes,1.0
226,car,1.0
227,cat,1.0
227,dog,1.0
227,plane,1.0
227,clothes,1.0
227,car,1.0
228,cat,1.0
228,dog,1.0
228,plane,1.0
228,clothes,1.0
228,car,1.0
229,cat,1.0
229,dog,1.0
229,plane,1.0
229,clothes,1.0
229,car,1.0
230,cat,1.0
230,dog,1.0
230,plane,1.0
230,clothes,1.0
230,car,1.0
231,cat,1.0
231,dog,1.0
231,plane,1.0
231,clothes,1.0
231,car,1.0
232,cat,1.0
232,dog,1.0
232,plane,1.0
232,clothes,1.0
232,car,1.0
233,cat,1.0
233,dog,1.0
233,plane,1.0
233,clothes,1.0
233,car,1.0
234,cat,1.0
234,dog,1.0
234,plane,1.0
234,clothes,1.0
234,car,1.0
235,cat,1.0
235,dog,1.0
235,plane,1.0
235,clothes,1.0
235,car,1.0
236,cat,1.0
236,dog,1.0
236,plane,1.0
236,clothes,1.0
236,car,1.0
237,cat,1.0
237,dog,1.0
237,plane,1.0
237,clothes,1.0
237,car,1.0
238,cat,1.0
238,dog,1.0
238,plane,1.0
238,clothes,1.0
238,car,1.0
239,cat,1.0
239,dog,1.0
239,plane,1.0
239,clothes,1.0
239,car,1.0
240,cat,1.0
240,dog,1.0
240,plane,1.0
240,clothes,1.0
240,car,1.0
241,cat,1.0
241,dog,1.0
241,plane,1.0
241,clothes,1.0
241,car,1.0
242,cat,1.0
242,dog,1.0
242,plane,1.0
242,clothes,1.0
242,car,1.0
243,cat,1.0
243,dog,1.0
243,plane,1.0
243,clothes,1.0
243,car,1.0
244,cat,1.0
244,dog,1.0
244,plane,1.0
244,clothes,1.0
244,car,1.0
245,cat,1.0
245,dog,1.0
245,plane,1.0
245,clothes,1.0
245,car,1.0
246,cat,1.0
246,dog,1.0
246,plane,1.0
246,clothes,1.0
246,car,1.0
247,cat,1.0
247,dog,1.0
247,plane,1.0
247,clothes,1.0
247,car,1.0
248,cat,1.0
248,dog,1.0
248,plane,1.0
248,clothes,1.0
248,car,1.0
249,cat,1.0
249,dog,1.0
249,plane,1.0
249,clothes,1.0
249,car,1.0
250,cat,1.0
250,dog,1.0
250,plane,1.0
250,clothes,1.0
250,car,1.0
251,cat,1.0
251,dog,1.0
251,plane,1.0
251,clothes,1.0
