round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score,cum_views,cum_likes
10,48,4,0.301519,0.250000,0.724138,0.714286,0.696659,0.610541,0.082171,0.470327,21.0,15.0
10,49,4,0.532519,0.250000,0.605263,0.869565,0.851546,0.816391,0.081131,0.530128,69.0,60.0
20,0,0,0.139619,0.062500,0.583333,0.357143,0.561631,0.608723,0.083227,0.347882,28.0,10.0
20,1,0,0.247320,0.062500,0.675000,0.685185,0.684982,0.756847,0.087434,0.453559,54.0,37.0
20,2,0,0.039080,0.062500,0.583333,0.238095,0.407066,0.544412,0.089504,0.298146,21.0,5.0
20,3,0,0.724847,0.062500,0.000000,0.000000,0.000000,0.000000,0.078817,0.028909,0.0,0.0
20,4,0,0.368557,0.062500,0.425121,0.772727,0.744720,0.844879,0.083973,0.451451,88.0,68.0
20,5,0,0.268096,0.062500,0.566265,0.680851,0.626842,0.734219,0.080691,0.422885,47.0,32.0
20,6,0,0.150631,0.062500,0.500000,0.263158,0.559339,0.533119,0.093382,0.312028,19.0,5.0
20,7,0,0.568517,0.062500,0.643123,0.919075,0.871428,0.968735,0.084806,0.544127,173.0,159.0
20,8,0,0.168080,0.062500,0.000000,0.000000,0.000000,0.000000,0.078978,0.028949,0.0,0.0
20,9,0,0.311360,0.062500,0.505263,0.583333,0.681738,0.725615,0.082317,0.406457,48.0,28.0
20,10,1,0.490499,0.062500,0.557252,0.904110,0.844417,0.828957,0.070773,0.500409,73.0,66.0
20,11,1,0.199080,0.062500,0.454545,0.480000,0.554341,0.608723,0.079305,0.345462,25.0,12.0
20,12,1,0.612538,0.062500,0.640000,0.937500,0.896618,0.876160,0.067478,0.531956,96.0,90.0
20,13,1,0.080769,0.062500,0.463415,0.315789,0.511550,0.541662,0.082567,0.305955,19.0,6.0
20,14,1,0.448982,0.062500,0.648649,0.833333,0.808750,0.865408,0.074119,0.504074,96.0,80.0
20,15,1,0.251850,0.062500,0.608696,0.678571,0.647205,0.651769,0.071659,0.417175,28.0,19.0
20,16,1,0.071009,0.062500,0.500000,0.382353,0.433289,0.643149,0.077447,0.323668,34.0,13.0
20,17,1,0.225512,0.062500,0.652174,0.600000,0.635660,0.717457,0.076298,0.420974,45.0,27.0
20,18,1,0.023145,0.062500,0.000000,0.000000,0.000000,0.000000,0.079356,0.029044,0.0,0.0
20,19,1,0.378901,0.062500,0.421488,0.784314,0.724210,0.759016,0.076849,0.434803,51.0,40.0
20,20,2,0.154859,0.062500,0.591837,0.448276,0.574134,0.627670,0.112386,0.375105,29.0,13.0
20,21,2,0.496025,0.062500,0.554007,0.905660,0.850061,0.953832,0.105039,0.528497,159.0,144.0
20,22,2,0.753268,0.062500,0.000000,0.000000,0.000000,0.000000,0.056707,0.023355,0.0,0.0
20,23,2,0.075313,0.062500,0.421053,0.187500,0.401108,0.493526,0.056907,0.249667,16.0,3.0
20,24,2,0.346724,0.062500,0.576087,0.811321,0.753716,0.768091,0.109883,0.475920,53.0,43.0
20,25,2,0.118530,0.062500,0.653846,0.352941,0.538955,0.638660,0.109838,0.365432,34.0,12.0
20,26,2,0.401554,0.062500,0.521127,0.770270,0.772634,0.816893,0.115062,0.473089,74.0,57.0
20,27,2,0.428317,0.062500,0.611511,0.870588,0.793389,0.849854,0.117778,0.510544,85.0,74.0
20,28,2,0.226272,0.062500,0.704918,0.558140,0.596069,0.704891,0.077330,0.414746,43.0,24.0
20,29,2,0.109343,0.062500,0.428571,0.380952,0.454926,0.567249,0.024078,0.291305,21.0,8.0
20,30,3,0.108891,0.062500,0.333333,0.000000,0.527534,0.176722,0.032863,0.173430,2.0,0.0
20,31,3,0.559639,0.062500,0.624060,0.915663,0.872477,0.850669,0.047589,0.513761,83.0,76.0
20,32,3,0.161426,0.062500,0.000000,0.000000,0.000000,0.000000,0.037489,0.018527,0.0,0.0
20,33,3,0.041007,0.062500,0.564103,0.318182,0.392277,0.564866,0.059082,0.300703,22.0,7.0
20,34,3,0.306667,0.062500,0.558824,0.763158,0.703166,0.709841,0.068562,0.439177,38.0,29.0
20,35,3,0.482934,0.062500,0.517986,0.861111,0.836619,0.822312,0.063713,0.484093,72.0,62.0
20,36,3,0.444939,0.062500,0.571429,0.843750,0.814896,0.801661,0.048569,0.479127,64.0,54.0
20,37,3,0.300442,0.062500,0.576923,0.600000,0.692200,0.653161,0.047735,0.401543,30.0,18.0
20,38,3,0.255183,0.062500,0.547619,0.608696,0.644886,0.612338,0.053900,0.386733,23.0,14.0
20,39,3,0.542584,0.062500,0.651429,0.877193,0.867941,0.897553,0.069106,0.523748,114.0,100.0
20,40,4,0.357393,0.062500,0.670732,0.836364,0.723746,0.776681,0.081755,0.483408,55.0,46.0
20,41,4,0.440077,0.062500,0.670732,0.854545,0.826758,0.778600,0.081042,0.501926,55.0,47.0
20,42,4,0.374670,0.062500,0.701031,0.750000,0.757009,0.801109,0.063496,0.478887,68.0,51.0
20,43,4,0.072453,0.062500,0.666667,0.305556,0.456031,0.640170,0.093616,0.343674,36.0,11.0
20,44,4,0.146514,0.062500,0.549020,0.535714,0.544210,0.634041,0.067609,0.367264,28.0,15.0
20,45,4,0.031405,0.062500,0.000000,0.000000,0.000000,0.000000,0.052185,0.022219,0.0,0.0
20,46,4,0.216687,0.062500,0.000000,0.000000,0.000000,0.000000,0.060606,0.024334,0.0,0.0
20,47,4,0.446234,0.062500,0.570652,0.914286,0.813563,0.888180,0.064283,0.506573,105.0,96.0
20,48,4,0.301519,0.062500,0.588235,0.666667,0.712695,0.661274,0.082171,0.426357,30.0,20.0
20,49,4,0.532519,0.062500,0.582915,0.870690,0.853538,0.899664,0.081131,0.513782,116.0,101.0
30,0,0,0.139619,0.015625,0.617284,0.440000,0.531128,0.712740,0.083227,0.370757,50.0,22.0
30,1,0,0.247320,0.015625,0.648855,0.694118,0.681359,0.830345,0.087434,0.456292,85.0,59.0
30,2,0,0.039080,0.015625,0.574074,0.161290,0.399231,0.591368,0.089504,0.284608,31.0,5.0
30,3,0,0.724847,0.015625,0.000000,0.000000,0.000000,0.000000,0.078817,0.022078,0.0,0.0
30,4,0,0.368557,0.015625,0.438066,0.772414,0.744318,0.924845,0.083973,0.460504,145.0,112.0
30,5,0,0.268096,0.015625,0.584615,0.671053,0.644732,0.809719,0.080691,0.432899,76.0,51.0
30,6,0,0.150631,0.015625,0.468750,0.300000,0.557866,0.610541,0.093382,0.318585,30.0,9.0
30,7,0,0.568517,0.015625,0.601382,0.908046,0.878820,1.000000,0.084806,0.537467,261.0,237.0
30,8,0,0.168080,0.015625,0.000000,0.000000,0.000000,0.000000,0.078978,0.022118,0.0,0.0
30,9,0,0.311360,0.015625,0.506757,0.560000,0.691532,0.793758,0.082317,0.409562,75.0,42.0
