round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score
20,12,1,0.612538,0.062500,0.128402,0.080987,0.880551,0.099259,0.067478,0.206103
20,13,1,0.080769,0.062500,0.105308,0.051953,0.236995,0.015487,0.082567,0.091733
20,14,1,0.448982,0.062500,0.119620,0.070565,0.825395,0.073488,0.074119,0.192629
20,15,1,0.251850,0.062500,0.106290,0.056401,0.398966,0.026609,0.071659,0.116074
20,16,1,0.071009,0.062500,0.106237,0.052154,0.402376,0.017649,0.077447,0.116047
20,17,1,0.225512,0.062500,0.104288,0.054239,0.325445,0.018431,0.076298,0.104220
20,18,1,0.023145,0.062500,0.103684,0.050231,0.160177,0.009134,0.079356,0.077802
20,19,1,0.378901,0.062500,0.110900,0.057781,0.691003,0.037881,0.076849,0.164311
20,20,2,0.154859,0.062500,0.113030,0.054254,0.452047,0.033396,0.112386,0.136084
20,21,2,0.496025,0.062500,0.127852,0.073425,0.798079,0.088211,0.105039,0.200143
20,22,2,0.753268,0.062500,0.126239,0.079814,0.917559,0.095485,0.056707,0.207942
20,23,2,0.075313,0.062500,0.106612,0.054168,0.304301,0.022935,0.056907,0.097147
20,24,2,0.346724,0.062500,0.114256,0.057683,0.575759,0.043697,0.109883,0.156490
20,25,2,0.118530,0.062500,0.107585,0.053492,0.408840,0.023372,0.109838,0.126444
20,26,2,0.401554,0.062500,0.120680,0.070704,0.781342,0.075410,0.115062,0.196712
20,27,2,0.428317,0.062500,0.109639,0.059894,0.721527,0.039049,0.117778,0.179549
20,28,2,0.226272,0.062500,0.109030,0.059115,0.445008,0.036731,0.077330,0.126836
20,29,2,0.109343,0.062500,0.105365,0.053577,0.267568,0.019096,0.024078,0.082457
20,30,3,0.108891,0.062500,0.107403,0.051938,0.292459,0.018442,0.032863,0.088403
20,31,3,0.559639,0.062500,0.115838,0.066724,0.813576,0.063017,0.047589,0.181436
20,32,3,0.161426,0.062500,0.113602,0.051500,0.355562,0.029530,0.037489,0.101679
20,33,3,0.041007,0.062500,0.106409,0.050699,0.296348,0.014439,0.059082,0.094652
20,34,3,0.306667,0.062500,0.105482,0.052537,0.369751,0.017889,0.068562,0.108840
20,35,3,0.482934,0.062500,0.122925,0.074160,0.794543,0.083004,0.063713,0.187799
20,36,3,0.444939,0.062500,0.114304,0.064987,0.758835,0.056434,0.048569,0.171888
20,37,3,0.300442,0.062500,0.104799,0.055336,0.393620,0.023121,0.047735,0.108333
20,38,3,0.255183,0.062500,0.108886,0.053905,0.559448,0.026264,0.053900,0.135927
20,39,3,0.542584,0.062500,0.130554,0.079431,0.850777,0.098068,0.069106,0.201899
20,40,4,0.357393,0.062500,0.121425,0.067946,0.736758,0.070632,0.081755,0.180537
20,41,4,0.440077,0.062500,0.120747,0.067179,0.790021,0.068626,0.081042,0.187924
20,42,4,0.374670,0.062500,0.106683,0.057043,0.480535,0.028337,0.063496,0.126819
20,43,4,0.072453,0.062500,0.107013,0.049925,0.302948,0.014620,0.093616,0.104343
20,44,4,0.146514,0.062500,0.108254,0.055342,0.455420,0.028077,0.067609,0.123980
20,45,4,0.031405,0.062500,0.106192,0.050109,0.236148,0.012381,0.052185,0.083345
20,46,4,0.216687,0.062500,0.107140,0.056207,0.452803,0.027933,0.060606,0.121763
20,47,4,0.446234,0.062500,0.120632,0.071125,0.809205,0.075670,0.064283,0.188261
20,48,4,0.301519,0.062500,0.111809,0.057937,0.647748,0.039316,0.082171,0.159459
20,49,4,0.532519,0.062500,0.130820,0.082112,0.878061,0.102167,0.081131,0.210129
30,0,0,0.139619,0.015625,0.111689,0.053682,0.274438,0.031216,0.083227,0.094612
30,1,0,0.247320,0.015625,0.111220,0.056655,0.414921,0.036256,0.087434,0.118281
30,2,0,0.039080,0.015625,0.107185,0.051942,0.187101,0.018660,0.089504,0.080014
30,3,0,0.724847,0.015625,0.146408,0.101211,0.924493,0.143636,0.078817,0.222225
30,4,0,0.368557,0.015625,0.118637,0.061990,0.620843,0.057597,0.083973,0.154016
30,5,0,0.268096,0.015625,0.119009,0.061662,0.585683,0.058192,0.080691,0.147913
30,6,0,0.150631,0.015625,0.124703,0.061472,0.522142,0.065055,0.093382,0.143264
30,7,0,0.568517,0.015625,0.123744,0.075631,0.695789,0.090581,0.084806,0.173505
30,8,0,0.168080,0.015625,0.101012,0.051042,0.067778,0.006430,0.078978,0.056221
30,9,0,0.311360,0.015625,0.114921,0.062506,0.688299,0.055627,0.082317,0.163132
30,10,1,0.490499,0.015625,0.143774,0.090090,0.853545,0.127186,0.070773,0.204787
30,11,1,0.199080,0.015625,0.118376,0.061515,0.441395,0.056819,0.079305,0.125195
30,12,1,0.612538,0.015625,0.151560,0.098912,0.911569,0.143785,0.067478,0.217831
