round,query,prec10
110,car,0.8
111,cat,0.7
111,dog,0.8
111,plane,0.7
111,clothes,0.9
111,car,0.8
112,cat,0.7
112,dog,0.8
112,plane,0.7
112,clothes,0.9
112,car,0.8
113,cat,0.7
113,dog,0.8
113,plane,0.7
113,clothes,0.9
113,car,0.8
114,cat,0.7
114,dog,0.8
114,plane,0.7
114,clothes,0.9
114,car,0.8
115,cat,0.7
115,dog,0.8
115,plane,0.7
115,clothes,0.9
115,car,0.8
116,cat,0.7
116,dog,0.8
116,plane,0.7
116,clothes,0.9
116,car,0.8
117,cat,0.7
117,dog,0.8
117,plane,0.7
117,clothes,0.9
117,car,0.8
118,cat,0.7
118,dog,0.8
118,plane,0.7
118,clothes,0.9
118,car,0.8
119,cat,0.7
119,dog,0.8
119,plane,0.7
119,clothes,0.9
119,car,0.8
120,cat,0.7
120,dog,0.8
120,plane,0.7
120,clothes,0.9
120,car,0.8
121,cat,0.7
121,dog,0.8
121,plane,0.7
121,clothes,0.9
121,car,0.8
122,cat,0.7
122,dog,0.8
122,plane,0.7
122,clothes,0.9
122,car,0.8
123,cat,0.7
123,dog,0.8
123,plane,0.7
123,clothes,0.9
123,car,0.8
124,cat,0.7
124,dog,0.8
124,plane,0.7
124,clothes,0.9
124,car,0.8
125,cat,0.7
125,dog,0.8
125,plane,0.7
125,clothes,0.9
125,car,0.8
126,cat,0.7
126,dog,0.8
126,plane,0.7
126,clothes,0.9
126,car,0.8
127,cat,0.7
127,dog,0.8
127,plane,0.7
127,clothes,0.9
127,car,0.8
128,cat,0.7
128,dog,0.8
128,plane,0.7
128,clothes,0.9
128,car,0.8
129,cat,0.7
129,dog,0.8
129,plane,0.7
129,clothes,0.9
129,car,0.8
130,cat,0.7
130,dog,0.8
130,plane,0.7
130,clothes,0.9
130,car,0.8
131,cat,0.7
131,dog,0.8
131,plane,0.7
131,clothes,0.9
131,car,0.8
132,cat,0.7
132,dog,0.8
132,plane,0.7
132,clothes,0.9
132,car,0.8
133,cat,0.7
133,dog,0.8
133,plane,0.7
133,clothes,0.9
133,car,0.8
134,cat,0.7
134,dog,0.8
134,plane,0.7
134,clothes,0.9
134,car,0.8
135,cat,0.7
135,dog,0.8
135,plane,0.7
135,clothes,0.9
135,car,0.8
136,cat,0.7
136,dog,0.8
136,plane,0.7
136,clothes,0.9
136,car,0.8
137,cat,0.7
137,dog,0.8
137,plane,0.7
137,clothes,0.9
137,car,0.8
138,cat,0.7
138,dog,0.8
138,plane,0.7
138,clothes,0.9
138,car,0.8
139,cat,0.7
139,dog,0.8
139,plane,0.7
