round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score
10,30,3,0.108891,0.783261,0.134259,0.061119,0.243807,0.095853,0.032863,0.206122
10,31,3,0.559639,0.471442,0.245048,0.215027,0.741144,0.306450,0.047589,0.308962
10,32,3,0.161426,0.399845,0.201651,0.102203,0.486073,0.191747,0.037489,0.216728
10,33,3,0.041007,0.941094,0.225689,0.094709,0.414190,0.215515,0.059082,0.298659
10,34,3,0.306667,0.503178,0.270602,0.151838,0.641623,0.281481,0.068562,0.294615
10,35,3,0.482934,0.996338,0.386425,0.386819,0.732538,0.465947,0.063713,0.461323
10,36,3,0.444939,0.974967,0.254391,0.242332,0.764766,0.343505,0.048569,0.399442
10,37,3,0.300442,0.882176,0.183427,0.110776,0.355623,0.196341,0.047735,0.271382
10,38,3,0.255183,0.676028,0.219986,0.146261,0.615376,0.248894,0.053900,0.299680
10,39,3,0.542584,0.396972,0.237201,0.217544,0.673591,0.297422,0.069106,0.290852
10,40,4,0.357393,0.618226,0.238424,0.189084,0.714775,0.281778,0.081755,0.327017
10,41,4,0.440077,0.439998,0.243157,0.200601,0.704679,0.293815,0.081042,0.302788
10,42,4,0.374670,0.998764,0.405730,0.377696,0.680759,0.468095,0.063496,0.455684
10,43,4,0.072453,0.903416,0.161923,0.062527,0.218512,0.124958,0.093616,0.244283
10,44,4,0.146514,0.689342,0.177026,0.107438,0.436509,0.184989,0.067609,0.256392
10,45,4,0.031405,0.951144,0.189542,0.093803,0.344814,0.181506,0.052185,0.277373
10,46,4,0.216687,0.417879,0.151694,0.093118,0.253310,0.148574,0.060606,0.174922
10,47,4,0.446234,0.411187,0.188002,0.115168,0.598768,0.207290,0.064283,0.244322
10,48,4,0.301519,0.202837,0.207798,0.133408,0.393486,0.226260,0.082171,0.195169
10,49,4,0.532519,0.641344,0.290775,0.280784,0.774286,0.365873,0.081131,0.373455
20,0,0,0.139619,0.913744,0.183700,0.093133,0.404472,0.177930,0.083227,0.286919
20,1,0,0.247320,0.604284,0.187251,0.103191,0.577471,0.188352,0.087434,0.271282
20,2,0,0.039080,0.376352,0.103689,0.051334,0.011151,0.010328,0.089504,0.105141
20,3,0,0.724847,0.758512,0.385212,0.436050,0.928040,0.482023,0.078817,0.468674
20,4,0,0.368557,0.877995,0.325615,0.301227,0.746043,0.398375,0.083973,0.418759
20,5,0,0.268096,0.978493,0.213926,0.160109,0.646636,0.265115,0.080691,0.360209
20,6,0,0.150631,0.889366,0.207576,0.120610,0.456218,0.221781,0.093382,0.307882
20,7,0,0.568517,0.431510,0.252400,0.236000,0.771669,0.317954,0.084806,0.323127
20,8,0,0.168080,0.708548,0.130264,0.077154,0.149413,0.108322,0.078978,0.195775
20,9,0,0.311360,0.949324,0.242541,0.224775,0.712984,0.311959,0.082317,0.387253
20,10,1,0.490499,0.330722,0.253976,0.209397,0.775960,0.294832,0.070773,0.297909
20,11,1,0.199080,0.747691,0.164186,0.096573,0.511897,0.168462,0.079305,0.273447
20,12,1,0.612538,0.452362,0.292487,0.280137,0.922489,0.371020,0.067478,0.365240
20,13,1,0.080769,0.451742,0.186176,0.075804,0.331656,0.160628,0.082567,0.201638
20,14,1,0.448982,0.649095,0.272087,0.209824,0.808566,0.318612,0.074119,0.357746
20,15,1,0.251850,0.607621,0.183675,0.132425,0.507742,0.207254,0.071659,0.264010
20,16,1,0.071009,0.250822,0.108549,0.057376,0.037101,0.036021,0.077447,0.092714
20,17,1,0.225512,0.888624,0.208627,0.147005,0.409332,0.241909,0.076298,0.303565
20,18,1,0.023145,0.413460,0.140255,0.058860,0.284159,0.101365,0.079356,0.169646
20,19,1,0.378901,0.963053,0.355058,0.348109,0.756586,0.458296,0.076849,0.451746
20,20,2,0.154859,0.438756,0.177249,0.104988,0.377261,0.182016,0.112386,0.220312
20,21,2,0.496025,0.631503,0.245235,0.233373,0.823696,0.330056,0.105039,0.366404
20,22,2,0.753268,0.902978,0.391035,0.423845,0.928941,0.466200,0.056707,0.481591
20,23,2,0.075313,0.808482,0.147259,0.067954,0.280460,0.118572,0.056907,0.227705
20,24,2,0.346724,0.538510,0.222244,0.156822,0.549567,0.250856,0.109883,0.285470
20,25,2,0.118530,0.449373,0.146692,0.065640,0.253656,0.104869,0.109838,0.180554
20,26,2,0.401554,0.470468,0.241220,0.184239,0.779784,0.282028,0.115062,0.322934
20,27,2,0.428317,0.704882,0.277920,0.214488,0.804465,0.320606,0.117778,0.378282
20,28,2,0.226272,0.371389,0.162535,0.090364,0.383317,0.152820,0.077330,0.193578
20,29,2,0.109343,0.827696,0.186331,0.077520,0.374667,0.170485,0.024078,0.251641
20,30,3,0.108891,0.783261,0.137582,0.068750,0.184253,0.102827,0.032863,0.199695
20,31,3,0.559639,0.471442,0.279424,0.255065,0.891625,0.337510,0.047589,0.347720
20,32,3,0.161426,0.399845,0.194144,0.079344,0.466075,0.172366,0.037489,0.206346
20,33,3,0.041007,0.941094,0.163135,0.070393,0.313034,0.133873,0.059082,0.258078
20,34,3,0.306667,0.503178,0.244191,0.191344,0.647745,0.284067,0.068562,0.298085
20,35,3,0.482934,0.996338,0.412898,0.447155,0.831915,0.500265,0.063713,0.494568
20,36,3,0.444939,0.974967,0.316144,0.318468,0.802990,0.397131,0.048569,0.434031
20,37,3,0.300442,0.882176,0.212930,0.122956,0.640078,0.227591,0.047735,0.325156
20,38,3,0.255183,0.676028,0.173245,0.144649,0.529085,0.225173,0.053900,0.276035
20,39,3,0.542584,0.396972,0.267194,0.270363,0.825870,0.350459,0.069106,0.334444
20,40,4,0.357393,0.618226,0.229722,0.185836,0.775060,0.278617,0.081755,0.334066
20,41,4,0.440077,0.439998,0.258404,0.199594,0.729952,0.306033,0.081042,0.310796
20,42,4,0.374670,0.998764,0.301997,0.322413,0.743794,0.406889,0.063496,0.432365
20,43,4,0.072453,0.903416,0.119014,0.050611,0.111959,0.041462,0.093616,0.207284
20,44,4,0.146514,0.689342,0.220105,0.097546,0.570989,0.210327,0.067609,0.285433
20,45,4,0.031405,0.951144,0.184754,0.050063,0.256677,0.131814,0.052185,0.249198
20,46,4,0.216687,0.417879,0.217725,0.123310,0.535709,0.232861,0.060606,0.244551
20,47,4,0.446234,0.411187,0.194199,0.154426,0.747442,0.235862,0.064283,0.278059
20,48,4,0.301519,0.202837,0.163093,0.072028,0.449413,0.136849,0.082171,0.174416
20,49,4,0.532519,0.641344,0.321718,0.368334,0.872815,0.426439,0.081131,0.415406
30,0,0,0.139619,0.913744,0.124026,0.065635,0.171472,0.082287,0.083227,0.223828
30,1,0,0.247320,0.604284,0.214665,0.121572,0.595827,0.220388,0.087434,0.285639
30,2,0,0.039080,0.376352,0.100398,0.050144,0.001197,0.001141,0.089504,0.101263
30,3,0,0.724847,0.758512,0.369609,0.408388,0.944641,0.457110,0.078817,0.461143
30,4,0,0.368557,0.877995,0.238896,0.253170,0.752131,0.355173,0.083973,0.393091
30,5,0,0.268096,0.978493,0.177751,0.120863,0.378186,0.204693,0.080691,0.298925
30,6,0,0.150631,0.889366,0.189313,0.113308,0.328048,0.199400,0.093382,0.280956
30,7,0,0.568517,0.431510,0.275653,0.272999,0.880876,0.352904,0.084806,0.354194
30,8,0,0.168080,0.708548,0.143647,0.079394,0.269146,0.119393,0.078978,0.217501
30,9,0,0.311360,0.949324,0.192684,0.162933,0.467695,0.245283,0.082317,0.323212
30,10,1,0.490499,0.330722,0.203931,0.145426,0.639953,0.240545,0.070773,0.252370
30,11,1,0.199080,0.747691,0.136274,0.086412,0.236582,0.123617,0.079305,0.219101
30,12,1,0.612538,0.452362,0.431754,0.450584,0.918199,0.489831,0.067478,0.429023
30,13,1,0.080769,0.451742,0.210349,0.092389,0.341392,0.197299,0.082567,0.214556
30,14,1,0.448982,0.649095,0.281395,0.240994,0.773190,0.342655,0.074119,0.362164
30,15,1,0.251850,0.607621,0.208088,0.183804,0.516758,0.268554,0.071659,0.285886
30,16,1,0.071009,0.250822,0.100951,0.050801,0.003984,0.004278,0.077447,0.080579
30,17,1,0.225512,0.888624,0.241729,0.128981,0.609316,0.252855,0.076298,0.337361
30,18,1,0.023145,0.413460,0.128522,0.052190,0.085243,0.056520,0.079356,0.129827
30,19,1,0.378901,0.963053,0.314194,0.300623,0.656798,0.400504,0.076849,0.414630
30,20,2,0.154859,0.438756,0.215551,0.105493,0.490612,0.215737,0.112386,0.248226
30,21,2,0.496025,0.631503,0.290294,0.260157,0.836745,0.349936,0.105039,0.382203
30,22,2,0.753268,0.902978,0.383414,0.439166,0.955148,0.472265,0.056707,0.487728
30,23,2,0.075313,0.808482,0.182618,0.076360,0.281001,0.159488,0.056907,0.240037
30,24,2,0.346724,0.538510,0.141149,0.089093,0.346860,0.142905,0.109883,0.216274
30,25,2,0.118530,0.449373,0.218575,0.128538,0.486477,0.233728,0.109838,0.255180
30,26,2,0.401554,0.470468,0.228940,0.229088,0.813059,0.316162,0.115062,0.338267
30,27,2,0.428317,0.704882,0.270903,0.226863,0.799113,0.337342,0.117778,0.380877
30,28,2,0.226272,0.371389,0.173795,0.130238,0.446234,0.195079,0.077330,0.217122
30,29,2,0.109343,0.827696,0.205969,0.080370,0.417158,0.183259,0.024078,0.262964
30,30,3,0.108891,0.783261,0.104502,0.052113,0.019784,0.014761,0.032863,0.153625
30,31,3,0.559639,0.471442,0.352374,0.339407,0.873569,0.413289,0.047589,0.380147
30,32,3,0.161426,0.399845,0.156165,0.086828,0.220749,0.145681,0.037489,0.160622
